fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,collection_id
LOW,860,960,1770488081.0619,1770488087.3391,1770488084.2562082,0.057308315243077945,0.24239999999999998,0.30375701835513197,1.736118875538193,7.23,1.7555537587895162,col_20260207_191320_5hz
LOW,880,980,1770488082.3953,1770488088.6418,1770488085.519773,0.056931222110543175,0.23479999999999998,0.3049543075609853,1.7404480917281044,7.23,1.768510672854422,col_20260207_191320_5hz
LOW,900,1000,1770488083.7041,1770488089.9725,1770488086.7860138,0.05676708641457654,0.23479999999999998,0.3025434034977461,1.6968177598080472,6.95,1.7213032853044812,col_20260207_191320_5hz
LOW,920,1020,1770488085.0148,1770488091.2769,1770488088.0534906,0.052346264231557145,0.21819999999999998,0.305282345542614,1.7929032768111057,7.540000000000001,1.8478338669912941,col_20260207_191320_5hz
LOW,940,1040,1770488086.0724,1770488092.5919,1770488089.3393142,0.05913099610187537,0.25529999999999997,0.30291738609726576,1.8682630971038312,7.74,1.9219281984507122,col_20260207_191320_5hz
LOW,960,1060,1770488087.4058,1770488093.9252,1770488090.656541,0.05965900012571447,0.25529999999999997,0.2994549592175758,1.858509991902115,7.74,1.9419425841151945,col_20260207_191320_5hz
LOW,980,1080,1770488088.7085,1770488095.2491,1770488091.9773602,0.0613067092250106,0.27070000000000005,0.29993440449538294,1.840411614286326,7.74,1.9137463259272371,col_20260207_191320_5hz
LOW,1000,1100,1770488090.0392,1770488096.5804,1770488093.2988935,0.06158529126341777,0.27070000000000005,0.30007759696451847,1.8868798027431424,8.73,1.9382087090919802,col_20260207_191320_5hz
LOW,1020,1120,1770488091.3436,1770488097.9035,1770488094.6217859,0.06299349569598435,0.27070000000000005,0.30109334997638193,1.7883445389521562,8.4,1.8414627338070135,col_20260207_191320_5hz
LOW,1040,1140,1770488092.6586,1770488099.209,1770488095.9469168,0.059048442858385355,0.2424,0.30488670617132524,1.6120831585250184,8.09,1.6829708850719907,col_20260207_191320_5hz
LOW,1060,1160,1770488093.9919,1770488100.5424,1770488097.270344,0.061010158326298414,0.2424,0.3089920738465633,1.6355200121062416,7.890000000000001,1.736221472047849,col_20260207_191320_5hz
LOW,1080,1180,1770488095.3158,1770488101.844,1770488098.589997,0.059290764036230806,0.2192,0.3054595181034632,1.6968914255190284,7.890000000000001,1.786688836927124,col_20260207_191320_5hz
LOW,1100,1200,1770488096.6471,1770488103.1578,1770488099.90688,0.06203560313239487,0.24830000000000002,0.31201717420680547,1.555113500680899,7.73,1.6925135154556374,col_20260207_191320_5hz
LOW,1120,1220,1770488097.9702,1770488105.6752,1770488101.3199592,0.06448270071112096,0.2659,0.30851696695643827,1.4819400662644895,7.140000000000001,1.6635444087850495,col_20260207_191320_5hz
