id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz
1881,1770065205.9251,27.5418,14.5649,0.190918,-0.18335,-1.09766,1.46565,-0.183206,-12.916,LOW,col_20260202_174439_20hz,2026-02-02T20:46:45.925100Z,16,16.25
1882,1770065205.9751,27.5418,22.0687,0.317383,-0.175781,-1.09351,0.320611,-2.28244,-19.4656,LOW,col_20260202_174439_20hz,2026-02-02T20:46:45.975100Z,16,16.25
1883,1770065206.0251,27.5888,23.1527,0.381836,-0.234131,-1.04004,-2.93893,-1.35115,-18.8626,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.025099Z,16,16.25
1884,1770065206.0751,27.5888,16.687,0.334473,-0.322266,-1.08472,-2.40458,2.18321,-12.0992,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.075099Z,16,16.25
1885,1770065206.1251,28.2476,12.3588,0.220947,-0.27002,-1.08862,-1.81679,1.72519,-8.81679,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.125099Z,16,16.25
1886,1770065206.1751,27.5888,14.9389,0.202637,-0.2146,-1.10034,1.25954,-0.664122,-13.0153,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.175100Z,16,16.25
1887,1770065206.2251,27.5418,26.3664,0.286865,-0.180176,-1.08496,1.03817,-1.9084,-23.4198,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.225100Z,16,16.25
1888,1770065206.2751,28.2476,27.2137,0.373047,-0.218018,-1.04834,-1.10687,-0.557252,-25.5496,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.275099Z,16,16.25
1889,1770065206.3251,28.2476,20.7939,0.354248,-0.299805,-1.09229,-2.84733,1.74809,-16.1985,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.325099Z,16,16.25
1890,1770065206.3751,28.2476,13.5649,0.214355,-0.236328,-1.08936,-1.74046,1.83969,-9.98473,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.375099Z,16,16.25
1891,1770065206.4251,28.2476,13.2519,0.219727,-0.192871,-1.08447,0.801527,-0.549618,-11.9008,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.425100Z,16,16.25
1892,1770065206.4751,27.5888,24.313,0.312988,-0.133545,-1.07861,0.167939,-2.38931,-21.7557,LOW,col_20260202_174439_20hz,2026-02-02T20:46:46.475100Z,16,16.25
1901,1770065207.1281,27.5418,29.4275,0.396729,-0.138184,-1.03442,-2.41221,-1.82443,-25.1908,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.128099Z,16,16.25
1902,1770065207.1781,27.5418,14.9771,0.336426,-0.138672,-1.09351,0.0916031,1.12977,-13.7557,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.178100Z,16,16.25
1903,1770065207.2281,27.5888,13.626,0.219238,-0.101562,-1.073,2.96947,2.35878,-8.29771,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.228100Z,16,16.25
1904,1770065207.2781,27.4476,19.6107,0.284912,-0.00610352,-1.0708,2.78626,-1.35115,-15.4733,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.278100Z,16,16.25
1905,1770065207.3281,27.5418,30.9466,0.389893,0.0268555,-1.04175,1.81679,-3.21374,-25.916,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.328099Z,16,16.25
1906,1770065207.3781,27.5418,27.8702,0.358643,-0.0847168,-1.0498,-3.41221,-1.72519,-22.7328,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.378099Z,16,16.25
1907,1770065207.4281,27.5418,18.5878,0.325684,-0.0959473,-1.08301,-0.465649,3.64885,-14.4733,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.428100Z,16,16.25
1893,1770065207.5251,27.5418,27.4351,0.380127,-0.184814,-1.05957,-0.755725,-1.27481,-25.4046,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.525099Z,16,16.25
1894,1770065207.5751,27.5418,21.6183,0.387207,-0.274902,-1.10229,-4.0229,1.06107,-16.5344,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.575099Z,16,16.25
1895,1770065207.6251,27.5888,9.67939,0.254639,-0.234131,-1.1001,-0.145038,2.22901,-7.30534,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.625099Z,16,16.25
1896,1770065207.6751,27.6829,11.6947,0.218262,-0.160889,-1.10132,1.38931,0.580153,-9.72519,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.675100Z,16,16.25
1897,1770065207.7251,27.5418,24.9008,0.315186,-0.116211,-1.0813,0.358779,-2.29008,-22.2519,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.725100Z,16,16.25
1898,1770065207.7751,27.5418,31.1603,0.421143,-0.175537,-1.06128,-2.06107,-2.25191,-26.8473,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.775099Z,16,16.25
1899,1770065207.8251,27.5888,21.5267,0.36792,-0.255371,-1.07837,-3.28244,1.16031,-17.084,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.825099Z,16,16.25
1900,1770065207.8751,27.5888,14.0763,0.232422,-0.223633,-1.10107,-1.77863,2.65649,-9.64122,LOW,col_20260202_174439_20hz,2026-02-02T20:46:47.875099Z,16,16.25
1921,1770065208.3567,27.5418,23.5802,0.310059,0.101318,-1.07568,3.54962,-0.816794,-19.2137,LOW,col_20260202_174439_20hz,2026-02-02T20:46:48.356699Z,16,16.25
1922,1770065208.4067,27.5888,27.4351,0.415283,0.0314941,-1.05103,1.48092,-0.503817,-25.4504,LOW,col_20260202_174439_20hz,2026-02-02T20:46:48.406699Z,16,16.25
1923,1770065208.4567,28.2476,17.9618,0.376221,-0.0144043,-1.06055,0.778626,1.65649,-15.5267,LOW,col_20260202_174439_20hz,2026-02-02T20:46:48.456700Z,16,16.25
