fan_state,collection_id,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,accel_y_g_std,accel_y_g_range,accel_y_g_rms,accel_z_g_std,accel_z_g_range,accel_z_g_rms,gyro_x_dps_std,gyro_x_dps_range,gyro_x_dps_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,gyro_z_dps_std,gyro_z_dps_range,gyro_z_dps_rms,vibration_dps_std,vibration_dps_range,vibration_dps_rms,accel_mag_g_std,accel_mag_g_range,accel_mag_g_rms
LOW_ROT_ON,col_20260222_112119_20hz,440,540,1771770113.29405,1771770118.089919,1771770115.6796517,0.0914937848107728,0.4743,0.310124568036781,0.09367399627965063,0.45630000000000004,0.12481687666337433,0.03565638752033077,0.15750000000000008,1.0552755634904087,3.258982127904355,15.1,3.549219209910822,3.235460726079054,16.28,3.450236078879241,14.426829934535167,54.58,17.1320555100665,11.57036888047961,38.7166,17.832784778309303,0.042767237047861846,0.20174251213750272,1.10696116250752
LOW_ROT_ON,col_20260222_112119_20hz,460,560,1771770114.204188,1771770119.060148,1771770116.6437702,0.09902550040772326,0.49779999999999996,0.32530159621495863,0.11592463418531887,0.4983,0.12300587181106437,0.03989977537530756,0.17059999999999997,1.0557492325831925,3.4502025215920296,19.08,3.967269590032923,3.774584750671257,18.81,4.039438079733368,14.18463122396913,48.07,18.397001766592293,11.43324032336835,38.7166,19.248524511094345,0.04679357584608451,0.21309361332859322,1.1115565730542014
LOW_ROT_ON,col_20260222_112119_20hz,480,580,1771770115.132059,1771770120.093188,1771770117.6406715,0.10507032263679408,0.49779999999999996,0.3395181009902123,0.12202158603706151,0.4685,0.12339676292350622,0.04250755410512347,0.17059999999999997,1.0493992708211684,3.6146170959037973,19.08,4.098781892221151,4.080688544841422,20.05,4.290413033729969,13.757309726469053,45.900000000000006,19.07290216511373,11.03886925330688,38.7166,19.97455979291158,0.05134938570539999,0.21838585406826816,1.1098369842458846
LOW_ROT_ON,col_20260222_112119_20hz,500,600,1771770116.303043,1771770121.055145,1771770118.6352887,0.10877321811457083,0.49779999999999996,0.34050217899449625,0.11190318627724594,0.4937,0.13202070178574266,0.04635930115952999,0.1855000000000001,1.0532347727833524,3.7885675446004656,18.79,4.086371250877727,4.06606180351455,20.05,4.299389142657361,13.202408908604523,52.53,16.282585636194273,9.781641246955392,38.7166,17.32932460175814,0.05350805741924237,0.21838585406826816,1.1147531951961385
LOW_ROT_ON,col_20260222_112119_20hz,520,620,1771770117.203043,1771770122.057761,1771770119.5974948,0.10715485397778302,0.4634,0.34165180710776283,0.09627727195968944,0.4553,0.14308724261792172,0.04775325283161347,0.1855000000000001,1.05504325532179,3.851679232490681,18.79,3.9319215404176115,4.115468113106941,21.119999999999997,4.220100354256993,13.385248176630869,65.34,14.29055278846833,8.567127770347016,38.7166,15.410679313544229,0.052128980842993396,0.21838585406826816,1.1181753828894643
LOW_ROT_ON,col_20260222_112119_20hz,540,640,1771770118.110148,1771770123.106089,1771770120.6049209,0.10795405631563826,0.4856,0.34038742999705496,0.08714682693018719,0.3528,0.14631749929519708,0.04743012176876631,0.18609999999999993,1.0592554185370022,4.14908272272318,20.61,4.1636846662541585,4.301311031534456,21.119999999999997,4.341981920736197,14.562475731825273,68.56,14.586018853683138,8.671775616836728,38.1603,15.777862066376422,0.04839140875068821,0.21132703005763298,1.1221828972141752
LOW_ROT_ON,col_20260222_112119_20hz,560,660,1771770119.143188,1771770124.056089,1771770121.6043963,0.09580064705418226,0.4553,0.34307900926754464,0.09997239948605816,0.4753,0.13920657778998807,0.045376469496865884,0.18409999999999993,1.0551801256657556,3.96305336830076,20.61,3.9666978710257226,4.029684732085129,17.59,4.043469797092591,14.9212084265987,61.33,16.40166073908371,10.043257801391738,38.869,17.352198989545965,0.0475436589250707,0.21132703005763298,1.1182516601820898
LOW_ROT_ON,col_20260222_112119_20hz,580,680,1771770120.105145,1771770125.104292,1771770122.6066172,0.09321866913338765,0.4553,0.34291838722938145,0.12044983603143676,0.5122,0.12909955305887003,0.044606182744099505,0.16869999999999996,1.0681507878104102,4.0381176604948,19.61,4.041381941860976,4.199577426360896,18.0,4.202968474780652,13.913409610875402,50.5,17.976530699776305,11.030106911189712,38.869,18.898500114863612,0.04410395306944282,0.18807841220195942,1.1292501141908289
LOW_ROT_ON,col_20260222_112119_20hz,600,700,1771770121.107761,1771770126.107536,1771770123.6204967,0.09109724265311217,0.4553,0.3432674865174387,0.13628269402605747,0.6003000000000001,0.1374269133030354,0.04404571183441131,0.18279999999999996,1.0744901448128783,3.8900849283788137,19.61,3.8963858895135117,4.135679803853291,18.0,4.137100192163588,12.940568942670179,46.6,19.448750036956103,11.467730314818665,38.869,20.26206794063479,0.046351135568101276,0.23666111896666076,1.1363308475527714
LOW_ROT_ON,col_20260222_112119_20hz,620,720,1771770122.184798,1771770127.057536,1771770124.6206307,0.0879231285328269,0.4553,0.33708173652691414,0.13110841582446187,0.6243000000000001,0.1584570503322588,0.04274891356514222,0.18279999999999996,1.0821776778791918,3.7971944854062984,19.61,3.8030080199757665,3.8734112859338863,17.16,3.8734634372871004,12.490224202951682,40.59,19.43925410091653,11.458271318795825,38.869,20.18294420410709,0.04661691887606301,0.22917713959454322,1.1444829664088496
