id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,sample_rate,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz,vibration_dps,accel_mag_g
133,1770488025.3644,30.1,26.4746,0.3452,-0.1365,-1.073,-2.48,-1.75,-26.3,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.364399Z,15.0,13.34,26.4746,1.1353960938808976
134,1770488025.4311,30.1,25.1776,0.3501,-0.062,-1.0923,-1.96,-0.24,-25.1,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.431099Z,15.0,13.34,25.1776,1.1487094062468541
135,1770488025.4977,30.2,24.8544,0.3181,-0.0234,-1.0562,1.93,-0.98,-24.76,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.497699Z,15.0,13.34,24.8544,1.1033102963355323
136,1770488025.5644,30.1,21.7931,0.2737,0.0129,-1.0815,3.82,0.82,-21.44,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.564399Z,15.0,13.34,21.7931,1.1156703590218753
137,1770488025.6311,30.1,18.8484,0.2852,-0.001,-1.0881,1.93,0.85,-18.73,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.631099Z,15.0,13.34,18.8484,1.1248562797086568
138,1770488025.6977,30.2,15.5491,0.2515,0.0378,-1.0686,1.37,-0.76,-15.47,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.697700Z,15.0,13.34,15.5491,1.098447563609661
139,1770488025.7644,30.0,12.1201,0.2329,0.0217,-1.0791,1.6,-0.31,-12.01,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.764400Z,15.0,13.34,12.1201,1.104160364258743
140,1770488025.8311,30.1,9.53594,0.2073,-0.0396,-1.083,0.5,0.79,-9.49,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.831099Z,15.0,13.34,9.53594,1.1033723079722455
141,1770488025.8977,30.2,8.17653,0.2471,-0.0466,-1.0977,-1.63,0.72,-7.98,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.897700Z,15.0,13.34,8.17653,1.126132878482819
142,1770488025.9644,30.1,10.1334,0.2605,-0.1343,-1.0955,-2.71,-0.29,-9.76,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:45.964400Z,15.0,13.34,10.1334,1.1340268912155478
143,1770488026.0311,30.2,8.61197,0.2644,-0.1523,-1.0999,-1.23,1.76,-8.34,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.031100Z,15.0,13.34,8.61197,1.1414388551297876
